title,actors
Run for Cover,James Cagney; Viveca Lindfors; John Derek; Jean Hersholt; Grant Withers; Jack Lambert; Ernest Borgnine; Ray Teal; Irving Bacon
Breathless,Richard Gere; Valérie Kaprisky; Art Metrano; Robert Dunn; William Tepper; John Ryan; Karen Black
One A.M.,Charles Chaplin; Albert Austin
Cutter's Way,Jeff Bridges; John Heard; Lisa Eichhorn; Ann Dusenberry; Stephen Elliott; Arthur Rosenberg; Nina van Pallandt; Patricia Donahue
King Solomon's Mines,Richard Chamberlain; Sharon Stone; Herbert Lom; John Rhys-Davies; Ken Gampu; June Buthelezi; Sam Williams
Dead Heat on a Merry Go Round,James Coburn; Camilla Sparv; Aldo Ray; Nina Wayne; Robert Webber; Rose Marie; Todd Armstrong; Marian McCargo; Harrison Ford
Summer Stock,Judy Garland; Gene Kelly; Eddie Bracken; Gloria DeHaven; Marjorie Main; Phil Silvers; Ray Collins; Nita Bieber; Carleton Carpenter
Funny Farm,Chevy Chase; Madolyn Smith; Kevin O'Morrison; Joseph Maher; Brad Sullivan; Jack Gilpin; Caris Corfman
Bonnie Scotland,Stan Laurel; Oliver Hardy; James Finlayson; June Lang; Vernon Steele; William Janney
Jitterbugs,Stan Laurel; Oliver Hardy; Vivian Blaine; Douglas Fowley; Noel Madison; Robert Bailey; Lee Patrick; Robert Emmett Keane
Jacob's Ladder,Tim Robbins; Elizabeth Peña; Danny Aiello; Matt Craven; Pruitt Taylor Vince; Jason Alexander; Patricia Kalember; Eriq La Salle; Ving Rhames; Brian Tarantina
High Society,Grace Kelly; Bing Crosby; Frank Sinatra; Louis Armstrong; Celeste Holm; John Lund; Louis Calhern; Sidney Blackmer; Margalo Gillmore
Doppelganger,Drew Barrymore; George Newbern; Dennis Christopher; Leslie Hope; Sally Kellerman; George Maharis; Peter Dobson; Carl Bressler
Another Woman,Gena Rowlands; Mia Farrow; Ian Holm; Gene Hackman; Martha Plimpton; Blythe Danner; Betty Buckley; Martha Plimpton; John Houseman; Sandy Dennis; David Ogden Stiers; Philip Bosco; Harris Yulin; Frances Conroy; Fred Melamed; Kenneth Welsh
Beneath Planet of the Apes,Charlton Heston; James Franciscus; Kim Hunter; Maurice Evans; Linda Harrison; Paul Richards; Victor Buono; James Gregory; Jeff Corey
The Other Side of Midnight,Marie-France Pisier; John Beck; Susan Sarandon; Raf Vallone; Clu Gulager; Christian Marquand; Michael Lerner; Sorrell Booke
Strangers on a Train,Farley Granger; Robert Walker; Ruth Roman; Leo G. Carroll; Patricia Hitchcock; Kasey Rogers; Marion Lorne; Jonathan Hale
Always,Richard Dreyfuss; Holly Hunter; Brad Johnson; Audrey Hepburn; John Goodman; Roberts Blossom; Keith David; Ed Van Nuys; Marg Helgenberger
Love Me or Leave Me,Doris Day; James Cagney; Cameron Mitchell; Robert Keith; Tom Tully; Harry Bellaver; Richard Gaines; Peter Leeds
A Lady without Passport,Hedy Lamarr; John Hodiak; George Macready; James Craig; Steven Geray; Bruce Cowling; Nedrick Young; Steven Hill
The Iron Mistress,Alan Ladd; Virginia Mayo; Joseph Calleia; Phillis Kirk; Alf Kjellin; Douglas Dick; Anthony Caruso; Nedrick Young; George Voskovec
Daisy Kenyon,Joan Crawford; Henry Fonda; Dana Andrews; Ruth Warrick; Martha Stewart; Peggy Ann Garner; Connie Marshall; Nicholas Joy
Broken Arrow,James Stewart; Jeff Chandler; Debra Paget; Basil Ruysdael; Will Geer; Joyce Mackenzie; Arthur Hunnicutt
Colorado Territory,Joel McCrea; Virginia Mayo; Dorothy Malone; Henry Hull; John Archer; James Mitchell; Morris Ankrum; Basil Ruysdael; Frank Puglia
Rome Adventure,Troy Donahue; Suzanne Pleshette; Rossano Brazzi; Angie Dickinson; Hampton Fancher; Constance Ford; Al Hirt; Iphigenie Castiglioni; Chad Everett
Lost Moment,Susan Hayward; Robert Cummings; Agnes Moorehead; Joan Lorring; Eduardo Ciannelli; John Archer; Frank Puglia; Minerva Urecal
Lovers and Other Strangers,Gig Young; Anne Jackson; Diane Keaton; Michael Brandon; Bea Arthur; Bonnie Bedelia; Richard S. Castellano; Bob Dishy; Harry Guardino; Cloris Leachman
Come and Get It,Edward Arnold; Joel McCrea; Frances Farmer; Walter Brennan; Mady Christians; Mary Nash; Andrea Leeds; Frank Shields; Edwin Maxwell
Forever Amber,Linda Darnell; Cornel Wilde; Richard Greene; George Sanders; Glenn Langan; Richard Haydn; Jessica Tandy; Anne Revere; John Russell
Boxcar Bertha,David Carradine; Barbara Hershey; Barry Primus; John Carradine; Bernie Casey; Victor Argo; David Osterhout; Grahame Pratt
Private School,Phoebe Cates; Matthew Modine; Sylvia Kristel; Michael Zorek; Fran Ryan; Betsy Russell; Kathleen Wilhoite; Kari Lizer
American Gigolo,Richard Gere; Lauren Hutton; Hector Elizondo; Nina van Pallandt; Bill Duke; Brian Davies; K Callan; Tom Stewart; Patricia Carr
American Graffiti,Richard Dreyfuss; Ron Howard; Paul Le Mat; Charles Martin Smith; Cindy Williams; Candy Clark; Mackenzie Phillips; Wolfman Jack; Bo Hopkins; Manuel Padilla jr.; Harrison Ford
More American Graffiti,Candy Clark; Bo Hopkins; Ron Howard; Paul Le Mat; Mackenzie Phillips; Charles Martin Smith; Cindy Williams; Anna Bjorn; Richard Bradford
An American in Paris,Gene Kelly; Leslie Caron; Oscar Levant; Nina Foch; Georges Guétary
The Quiet American,Audie Murphy; Michael Redgrave; Claude Dauphian; Giorgia Moll; Bruce Cabot; Fred Sadoff; Kerima; Richard Loo
On a Clear Day You Can See Forever,Barbra Streisand; Yves Montand; Bob Newhart; Jack Nicholson; Larry Blyden; Simon Oakland; John Richardson; Pamela Brown; Irene Handl; Roy Kinnear
Best Friends,Burt Reynolds; Goldie Hawn; Jessica Tandy; Keenan Wynn; Bernard Hughes; Audra Lindley; Ron Silver; Peggy Walton-Walker; Noah Hathaway
Torch Song Trilogy,Anne Bancroft; Matthew Broderick; Harvey Fierstein; Brian Kerwin; Karen Young; Eddie Castrodad; Ken Page; Charles Pierce; Axel Vera
Dangerous Company,Beau Bridges; Carlos Brown; Jan Sterling; Ralph Macchio; Karen Carlson; Kene Holliday; Max Wright; Shizuko Hoshi
Too Hot to Handle,Clark Gable; Myrna Loy; Walter Pidgeon; Leo Carrillo; Walter Connolly; Johnny Hines; Virginia Weidler; Betty Ross Clarke
The Amityville Horror,James Brolin; Margot Kidder; Rod Steiger; Murray Hamilton; Don Stroud; John Larch; Natasha Ryan; K.C. Martel; Meeno Peluce
Hamlet,Mel Gibson; Glenn Close; Alan Bates; Paul Scofield; Helena Bonham Carter; Ian Holm; Stephen Dillane; Nathaniel Parker; Sean Murray
Jack the Giant Killer,Kerwin Mathews; Judi Meredith; Torin Thatcher; Walter Burke; Don Beddoe; Barry Kelley; Dayton Lummis; Anna Lee
The Incredible Mr. Limpet,Don Knotts; Carole Cook; Andrew Duggan; Jack Weston; Larry Keating; Oscar Beregi Jr.; Charles Meredith
Secret Admirer,C. Thomas Howell; Lori Loughlin; Kelly Preston; Fred Ward; Dee Wallace; Cliff De Young; Leigh Taylor-Young; Casey Siemaszko; Geoffrey Blake
Love at First Bite,George Hamilton; Susan Saint James; Richard Benjamin; Dick Shawn; Arte Johnson; Sherman Hemsley; Isabel Sanford; Barry Gordon
Love Can Be Murder,Jaclyn Smith; Corbin Bernsen; Cliff De Young; Tom Bower; Nicholas Pryor; Susan Brown; Elaine Kagan; John Carter; Anne Francis
Teen Witch,Robyn Lively; Dan Gauthier; Joshua Miller; Dick Sargent; Caren Kaye; Lisa Fuller; Mandy Ingber; Zelda Rubinstein
Flesh and Blood,Rutger Hauer; Jennifer Jason Leigh; Tom Burlinson; Jack Thompson; Fernando Hilbeck; Susan Tyrrell; Ronald Lacey; Brion James
A Message from Holly,Lindsay Wagner; Shelley Long; Cotter Smith; Anne Jeffreys; Molly Orr; Gary Bayer; Katie Layman
Love at Large,Tom Berenger; Anne Archer; Elizabeth Perkins; Annette O'Toole; Kate Capshaw; Ted Levine; Ann Magnuson; Kevin J. O'Connor; Ruby Dee
Romance on the High Seas,Doris Day; Don DeFore; Jack Carson; Janis Paige; Oscar Levant; S.Z. Sakall; Fortunio Bonanova; Eric Blore; Franklin Pangborn
The Little Minister,Katharine Hepburn; Donald Crisp; John Beal; Andy Clyde; Alan Hale; Lumsden Hare; Beryl Mercer; Dorothy Stickney; Frank Conroy
When I Fall in Love,Dennis Quaid; Jessica Lange; Timothy Hutton; John Goodman; Carl Lumbly; Ray Baker; Savannah Smith Boucher; Patricia Clarkson; Joseph Meyer
Amy,Jenny Agutter; Barry Newman; Kathleen Nolan; Chris Robinson; Lou Fant; Margaret O'Brien; Nanette Fabray; Lance LeGault; Lucille Benson
Anastasia,Ingrid Bergman; Yul Brynner; Akim Tamiroff; Helen Hayes; Martita Hunt; Felix Aylmer; Sacha Pitoeff; Ivan Desny
Anatomy of a Murder,James Stewart; Lee Remick; Ben Gazzara; George C. Scott; Arthur O'Connell; Eve Arden; Kathryn Grant; Orson Bean
Ghoulies Go to College,Kevin McCarthy; Evan MacKenzie; Eva La Rue; John R. Johnston; Patrick Labyorteaux; Billy Morrissette; Hope Marie Carlton; Jason Scott Lee
Another 48 hrs,Nick Nolte; Eddie Murphy; Brion James; Kevin Tighe; Ed O'Ross; David Anthony Marshall; Andrew Divoff; Bernie Casey; Brent Jennings; Tisha Campbell-Martin
Sweet Hearts Dance,Susan Sarandon; Don Johnson; Jeff Daniels; Elizabeth Perkins; Kate Reid; Justin Henry; Holly Marie Combs; Heather Coleman; Matthew Wohl
"Once More, with Feeling!",Yul Brynner; Kay Kendall; Geoffrey Toone; Maxwell Shaw; Mervyn Johns; Martin Benson; Harry Lockhart; Gregory Ratoff; Shirley Anne Field
Android,Klaus Kinski; Don Keith Opper; Brie Howard; Norbert Weisser; Crofton Hardester; Kendra Kirchner; Gary Corarito; Mary Ann Fisher; Darrell Larson
The Andromeda Strain,Arthur Hill; David Wayne; James Olson; Kate Reid; Paula Kelly; George Mitchell; Ramon Bieri; Kermit Murdock; Richard O'Brien
Angel Heart,Robert De Niro; Mickey Rourke; Charlotte Rampling; Lisa Bonet; Stocker Fontelieu; Brownie McGhee; Michael Higgins; Elizabeth Whitcraft; Eliott Keener
Angel,Donna Wilkes; Susan Tyrrell; Dick Shawn; Rory Calhoun; Cliff Gorman; John Diehl; Elaine Giftos; Donna McDaniel
Pocketful of Miracles,Glenn Ford; Bette Davis; Ann-Margret; Peter Falk; Hope Lange; Arthur O'Connell; Thomas Mitchell; Edward Everett Horton; Mickey Shaughnessy
