title,actors
Violet & Daisy,Saoirse Ronan; Alexis Bledel; James Gandolfini; Marianne Jean-Baptiste; Danny Trejo; Cody Horn; Tatiana Maslany; John Ventimiglia; Stu 'Large' Riley; Cassidy Hinkle
You're Next,Sharni Vinson; Nicholas Tucci; Wendy Glenn; AJ Bowen; Joe Swanberg; Amy Seimetz; Rob Moran; Barbara Crampton; L.C. Holt; Simon Barrett; Lane Hughes; Ti West; Margaret Laney
The Best Exotic Marigold Hotel,Bill Nighy; Maggie Smith; Tom Wilkinson; Dev Patel; Judi Dench; Celia Imrie; Penelope Wilton; Liza Tarbuck; Lillete Dubey; Tina Desai
A Good Old Fashioned Orgy,Jason Sudeikis; Leslie Bibb; Lake Bell; Michelle Borth; Nick Kroll; Tyler Labine; Angela Sarafyan; Lindsay Sloane; Martin Starr; Rhys Coiro
Play the Game,Paul Campbell; Andy Griffith; Doris Roberts; Marla Sokoloff; Liz Sheridan; Clint Howard; Rance Howard; Geoffrey Owens; Juliette Jeffers; Omar Adam
Superman/Doomsday,Adam Baldwin; Anne Heche; James Marsters; John Di Maggio; Tom Kenny; Swoosie Kurtz; Cree Summer; Ray Wise; Adam Wylie; Chris Cox
The Violent Kind,Cory Knauf; Taylor Cole; Bret Roberts; Christina McDowell; Tiffany Shepis; Nick Tagas; Joe Egender; Joseph McKelheer; Samuel Child; MacKenzie Firgens
Elektra Luxx,Joseph Gordon-Levitt; Carla Gugino; Julianne Moore; Ermahn Ospina; Jake Hames; Kathleen Quinlan; Melissa Stephens; Susie Goliti; Lucy Punch; Marley Shelton; Amy Rosoff
The Grey,Liam Neeson; Dermot Mulroney; James Badge Dale; Frank Grillo; Joe Anderson; Nonso Anozie; Dallas Roberts; Ben Bray; Larissa Stadnichuk; James Bitonti
Marley & Me: The Puppy Years,Travis Turner; Donnelly Rhodes; Merrilyn Gann; Chelah Horsdal; Sydney Imbeau; Alex Zahara; Christopher Goodman; Ryan Grantham; Gordon Grice; Geoff Gustafson
Parker,Jason Statham; Jennifer Lopez; Nick Nolte; Michael Chiklis; Clifton Collins jr.; Wendell Pierce; Daniel Bernhardt; Patti LuPone; Emma Booth; Kirk Baltz; Micah Hauptman
Masters of Science Fiction: Jerry Was a Man,Stephen Hawking; Malcolm McDowell; Anne Heche; Russell Porter; Jason Diablo; Richard Ian Cox; Bill Dow
Roadracers,David Arquette; John Hawkes; Salma Hayek; Jason Wiles; William Sadler; O'Neal Compton; Christian Klemash; Aaron Vaughn; Tammy Brady Conrad; Mark Lowenthal
Surf School,Corey Sevier; Laura Bell Bundy; Sisqo; Lee Norris; Miko Hughes; Harland Williams; Taylor Negron; Diane Delano; Ryan Carnes; Matt T. Baker
Forever Strong,Sean Faris; Sean Astin; Gary Cole; Neal McDonough; Julie Warner; Penn Badgley; Eliot Benjamin; Michael J. Pagan; Nathan West; Max Kasch
The Allnighter,Susanna Hoffs; Dedee Pfeiffer; Joan Cusack; John Terlesky; James Shanta; Michael Ontkean; Pam Grier; Phil Brock; Kaaren Lee; Janelle Brady
Joysticks,Joe Don Baker; Leif Green; Jim Greenleaf; Scott McGinnis; Jon Gries; Corinne Bohrer; John Diehl; John Voldstad; Reid Cruickshanks; Morgan Lofting
Lay the Favourite,Bruce Willis; Rebecca Hall; Catherine Zeta-Jones; Joshua Jackson; Vince Vaughn; Laura Prepon; Joel Murray; Frank Grillo; John Carroll Lynch; Corbin Bernsen
The Odd Life of Timothy Green,Joel Edgerton; Jennifer Garner; Ron Livingston; Dianne Wiest; Rosemarie DeWitt; Common; M. Emmet Walsh; Lois Smith; Michael Arden; Rhoda Griffis
Bunraku,Josh Hartnett; Demi Moore; Woody Harrelson; Ron Perlman; Kevin McKidd; Gackt; Shun Sugata; Jordi Mollà; Emily Kaiho; Mike Patton
Argo,Ben Affleck; Bryan Cranston; Alan Arkin; John Goodman; Victor Garber; Tate Donovan; Clea DuVall; Scott McNairy; Rory Cochrane; Christopher Denham; Kerry Bishé; Kyle Chandler; Chris Messina; Michael Parks; Adrienne Barbeau
Free Willy: Escape from Pirate's Cove,Bindi Irwin; Beau Bridges; Mike Falkow; Darron Meyer; Jeanne Neilson; Kevin Otto; Matthew Dylan Roberts; Siyabulela Ramba; Little Brother
Without Men,Eva Longoria; Christian Slater; Óscar Núñez; Kate del Castillo; Mónica Huarte; Yvette Yates; Maria Conchita Alonso; Guillermo Diaz; Paul Rodriguez; Camryn Manheim
Arena,Kellan Lutz; Samuel L. Jackson; Nina Dobrev; Irene Choi; James Remar; Daniel Dae Kim; Mayra Leal; Vanessa Branch; Johnny Messner; Derek Mears; Katia Winter
Uncle Kent,Kent Osborne; Jennifer Prediger; Josephine Decker; Joe Swanberg; Kevin Bewersdorf
George Harrison: Living in the Material World,George Harrison; Eric Clapton; George Martin; Olivia Harrison; Paul McCartney; Phil Spector; Ringo Starr; Yoko Ono; Terry Gilliam; Eric Idle; Jane Birkin; Tom Petty; Dhani Harrison
Fear City,Tom Berenger; Billy Dee Williams; Jack Scalia; Melanie Griffith; Rossano Brazzi; Rae Dawn Chong; Joe Santos; Michael V. Gazzo; Jan Murray; Janet Julian
Wisegal,Alyssa Milano; Jason Gedrick; Janet Wright; Gabriel Hogan; Heather Hanson; Tony Nappo; James Caan; Alessandro Costantini; Kyle Harrington; Gina Wilkinson
Detachment,Adrien Brody; Christina Hendricks; Bryan Cranston; James Caan; Lucy Liu; Blythe Danner; Renée Felice Smith; Tim Blake Nelson; Marcia Gay Harden; William Petersen
The Tv Set,David Duchovny; Sigourney Weaver; Ioan Gruffudd; Judy Greer; Fran Kranz; Lindsay Sloane; Justine Bateman; Lucy Davis; Willie Garson; M.C. Gainey
The Wild Stallion,Miranda Cosgrove; Danielle Chuchran; Connie Sellecca; Fred Ward; Robert Wagner; Corbin Allred; K.C. Clyde; Gib Gerard; Michael Lawson; Bob Lanoue; RaeAnn Christensen
Masters of Science Fiction: The Discarded,Stephen Hawking; John Hurt; Brian Dennehy; James Denton; Gina Chiarelli; Lori Ann Triolo; Donny James Lucas
Slow Moe,Scotty Leavenworth; AJ Michalka; Marc John Jefferies; Alexis Baigue; Daye Collin Rockwood; Chris White
"Walker, Texas Ranger: Trial by Fire",Chuck Norris; Sheree J. Wilson; Judson Mills; Clarence Gilyard Jr.; Andre Kristoff; Janine Turner; Bret Loehr; Steven Williams; Bruce Locke; Mitchel Musso
Jesus Henry Christ,Toni Collette; Michael Sheen; Jason Spevack; Samantha Weinstein; Frank Moore; Aaron Abrams; Melyssa Ade; Paul Braunstein; Hannah Brigden; Luca Castricone
Masters of Science Fiction: Little Brother,Stephen Hawking; Kimberly Elise; Clifton Collins jr.; Garwin Sanford; Daryl Shuttleworth; Matthew Walker; Jorge Vargas
Parasomnia,Dylan Purcell; Patrick Kilpatrick; Jeffrey Combs; Cherilyn Wilson; Timothy Bottoms; Janet Tracy Keijser; Kathryn Leigh Scott; Brennan Bailey; Dov Tiefenbach; Alison Brie
Living Out Loud,Gail O'Grady; Michael Shanks; Jessica Amlee; Alex Ferris; Babs Chula; Patrick Gilmore; Eve Harlow; Tom McBeath; Kelly-Ruth Mercier; Carrie Ruscheinsky
Don't Drink the Water,Ed Herlihy; Josef Sommer; Robert Stanton; Edward Herrmann; Rosemary Murphy; Michael J. Fox; Woody Allen; Julie Kavner; Mayim Bialik; Ed Van Nuys
I Melt with You,Carla Gugino; Thomas Jane; Arielle Kebbel; Rob Lowe; Jeremy Piven; Sasha Grey; Joe Reegan; Dani Fish; Tom Bower; Christian McKay
Trick 'r Treat,Dylan Baker; Rochelle Aytes; Quinn Lord; Lauren Lee Smith; Moneca Delain; Tahmoh Penikett; Brett Kelly; Britt McKillip; Isabelle Deluce; Jean-Luc Bilodeau; Alberto Ghisi; Samm Todd; Anna Paquin; Brian Cox; Leslie Bibb; Connor Christopher Levins
In the Land of Blood and Honey,Zana Marjanovic; Goran Kostic; Rade Serbedzija; Nikola Djuricko; Branko Djuric; Dolya Gavanski; Jasna Beri; Goran Jevtic; Levente Törköly; Boris Ler
Jack the Giant Slayer,Nicholas Hoult; Eleanor Tomlinson; Ewan McGregor; Stanley Tucci; Ian McShane; Bill Nighy; Warwick Davis; Eddie Marsan; Ewen Bremner; John Kassir
Wrath of the Titans,Sam Worthington; Liam Neeson; Ralph Fiennes; Rosamund Pike; Bill Nighy; Danny Huston; Toby Kebbell; Edgar Ramirez; Lily James; Reg Wayment
12 Men of Christmas,Kristin Chenoweth; Josh Hopkins; Anna Chlumsky; Erin Dilly; Stephen Huszar; Heather Hanson; Jefferson Brown; Craig Eldridge; Chantal Perron; Paul Constable
Jesse Stone: No Remorse,Tom Selleck; Kathy Baker; Kohl Sudduth; Stephen McHattie; Krista Allen; William Sadler; Mae Whitman; Todd Hofley; Saul Rubinek; William Devane
Birds of America,Matthew Perry; Ben Foster; Ginnifer Goodwin; Lauren Graham; Zoë Kravitz; Hilary Swank; Gary Wilmes; Daniel Eric Gold; Stacie Theon; Lindsay Allen
Sleepaway Camp,Felissa Rose; Jonathan Tiersten; Karen Fields; Christopher Collet; Mike Kellin; Katherine Kamhi; Paul DeAngelo; Tom Van Dell; Loris Sallahian; John E. Dunn
The Devil Inside,Fernanda Andrade; Simon Quarterman; Evan Helmuth; Ionut Grama; Suzan Crowley; Bonnie Morgan; Brian Johnson; Preston James Hillier; D.T. Carney; Talyan Wright
Hammer of the Gods,Zachery Ty Bryan; Mac Brandt; Daz Crawford; Nicole Ennemoser; Rafael Jordan; John Laskowski; Hristo Mitzkov; Melissa Osborne; Velislav Pavlov; Alexis Peters
The Suite Life Movie,Cole Sprouse; Dylan Sprouse; Brenda Song; Debby Ryan; Matthew Timmons; John Ducey; Katelyn Pacitto; Kara Pacitto; Matthew Glave; Phill Lewis; Steven French; John French
Masters of Science Fiction: Watchbird,Stephen Hawking; James Cromwell; Sean Astin; Vincent Gale; Stacy Grant; Christine Chatelain; Michael Kopsa
Gravity,Sandra Bullock; George Clooney
Step Up 4,Kathryn McCormick; Ryan Guzman; Stephen Boss; Alyson Stoner; Adam G. Sevani; Chadd Smith; Megan Boone; Jessica Guadix; Cleopatra Coleman; Tommy Dewey
The Cold Light of Day,Henry Cavill; Bruce Willis; Sigourney Weaver; Verónica Echegui; Caroline Goodall; Jim Piddock; Óscar Jaenada; Rafi Gavron; Shira Scott; Joseph Mawle
Freerunner,Sean Faris; Danny Dyer; Tamer Hassan; Amanda Fuller; Seymour Cassel; Mariah Bonner; Casey Durkin; Jia Mae; Ryan Doyle; Curtis Taylor
Deadfall,Eric Bana; Olivia Wilde; Charlie Hunnam; Sissy Spacek; Kris Kristofferson; Kate Mara; Treat Williams; Allison Graham; Patrick Kerton; Jason Cavalier
The Brass Teapot,Juno Temple; Michael Angarano; Alexis Bledel; Alia Shawkat; Lucy Walters; Billy Magnussen; Bobby Moynihan; Thomas Middleditch; Tara Copeland; Michael Delaney
The Silver Linings Playbook,Jennifer Lawrence; Bradley Cooper; Robert De Niro; Julia Stiles; Chris Tucker; Shea Whigham; Taylor Schilling; John Ortiz; Jacki Weaver; Anupam Kher
Elle: A Modern Cinderella Tale,Ashlee Hewitt; Sterling Knight; Thomas Calabro; Kiely Williams; Katherine Bailess; Tyler Nicole; Emma Winkler; Juliette Hing-Lee; Shawn-Caulin Young; Austin Michael Coleman
Crocodile,Mark McLachlan; Caitlin Martin; Chris Solari; D.W. Reiser; Julie Mintz; Rhett Wilkins; Greg Wayne; Harrison Young; Terrence Evans; Vern Crofoot
The Aurora Encounter,Jack Elam; Peter Brown; Carol Bagdasarian; Dottie West; Will Mitchell; Charles B. Pierce; Mickey Hays; George 'Spanky' McFarland; Mindy Smith; Carly McCullough
The Prowler,Vicky Dawson; Christopher Goutman; Lawrence Tierney; Farley Granger; Cindy Weintraub; Lisa Dunsheath; David Sederholm; Bill Nunnery; Thom Bray; Diane Rode
Maniac Cop 3: Badge of Silence,Robert Davi; Robert Z'Dar; Caitlin Dulany; Gretchen Becker; Paul Gleason; Jackie Earle Haley; Julius Harris; Grand L. Bush; Doug Savant; Robert Forster
Locked Away,Jean Louisa Kelly; Kirsten Prout; Paula Trickey; Jake Thomas; Cynthia Preston; Mark Weiler; Marielle Jaffe; Jill Klopp; Veralyn Jones; Heather Ballentine
Bereavement,Alexandra Daddario; Spencer List; Brett Rickaby; Michael Biehn; Nolan Gerard Funk; Kathryn Meisle; Peyton List; John Savage; Valentina de Angelis; Greg Wood
Journey 2: The Mysterious Island,Josh Hutcherson; Dwayne Johnson; Michael Caine; Vanessa Hudgens; Kristin Davis; Luis Guzmán
The Perfect Student,Natasha Henstridge; Brea Grant; Robert Neary; Josie Davis; Jay Pickett; Michael Bowen; Carlson Young; Alexander John DiPersia; Wilson Bethel; Brad Barnholtz
The Howling: Reborn,Landon Liboiron; Lindsey Shaw; Ivana Milicevic; Jesse Rath; Niels Schneider; Frank Schorpion; Kristian Hodko; Sean Mercado; Sacha Charles; Erin Agostino
Something New,Sanaa Lathan; Simon Baker; Fuzzy Fantabulous; Katharine Towne; Stanley DeSantis; K.C. Clyde; Wendy Raquel Robinson; Golden Brooks; Taraji P. Henson; Marcus Brown; Russell Hornsby
True Justice - Deadly Crossing: Part 1&2,Steven Seagal; Meghan Ory; Warren Christie; William 'Big Sleeps' Stewart; Sarah Lind; Gil Bellows; Anna Van Hooft; Ben Cotton; Adrian Hough
Expecting Mary,Elliott Gould; Linda Gray; Lainie Kazan; Cloris Leachman; Della Reese; Olesya Rulin; Cybill Shepherd; Gene Simmons; Fred Willard; Duncan Bravo
The Texas Chainsaw Massacre 3D,Alexandra Daddario; Dan Yeager; Tania Raymonde; Thom Barry; Scott Eastwood; Bill Moseley; Richard Riehle; Shaun Sipos; Gunnar Hansen; Keram Malicki-Sánchez; Trey Songz
The Delinquents,Tom Laughlin; Peter Miller; Richard Bakalyan; Rosemary Howard; Helen Hawley; Leonard Belove; Lotus Corelli; James Lantz; Christine Altman; George Kuhn
Next Stop Murder,Brigid Brannagh; Brian Krause; Jordan Baker; Heather Ballentine; Rosa Blasi; Ian Duncan; Kevin Kilner; Allison Lange; Joe Regalbuto; Lin Shaye
American Masters: Woody Allen - A Documentary,Woody Allen; Letty Aronson; Antonio Banderas; Marshall Brickman; Josh Brolin; Dick Cavett; Penélope Cruz; John Cusack; Larry David; Seth Green; Diane Keaton; Scarlett Johansson; Martin Landau; Sean Penn; Martin Scorsese; Mira Sorvino; Naomi Watts; Dianne Wiest; Owen Wilson
HealtH,Carol Burnett; Glenda Jackson; James Garner; Lauren Bacall; Paul Dooley; Donald Moffat; Henry Gibson; Diane Stilwell; MacIntyre Dixon; Alfre Woodard
The Expendables 2,Jason Statham; Bruce Willis; Sylvester Stallone; Liam Hemsworth; Arnold Schwarzenegger; Jean-Claude Van Damme; Jet Li; Chuck Norris; Dolph Lundgren; Scott Adkins; Terry Crews; Randy Couture; Yu Nan; Charisma Carpenter
Rosewood Lane,Rose McGowan; Lauren Vélez; Ray Wise; Bill Fagerbakke; Lesley-Anne Down; Lin Shaye; Rance Howard; Ashton Moio; Judson Mills; Steve Tom
This Means War,Tom Hardy; Reese Witherspoon; Chris Pine; Laura Vandervoort; Til Schweiger; Chelsea Handler; Natassia Malthe; Warren Christie; Rebel Wilson; Angela Bassett
House at the End of the Street,Jennifer Lawrence; Elisabeth Shue; Max Thieriot; Gil Bellows; Nolan Gerard Funk; Jonathan Malen; James Thomas; Allie MacDonald; Kate Drummond; Jordan Hayes; Eva Link
Breaking Wind,Danny Trejo; Nic Novicki; Alice Rietveld; Frank Pacheco; Eric Tiede; Austin Michael Scott; Alissa Kramer; Heather Ann Davis; Michael Adam Hamilton; Ashley Martin
Group Sex,Josh Cooke; Greg Grunberg; Odette Annable; Rob Benedict; Kym Whitley; Tom Arnold; Henry Winkler; Lombardo Boyar; Kathrine Narducci; Greg Germann
A Nanny for Christmas,Emmanuelle Vaugier; Dean Cain; Richard Ruccolo; Cynthia Gibb; Sierra McCormick; Jared Gilmore; Sarah Thompson; Clyde Kusatsu; John Burke; Caia Coley
The Big Trail,John Wayne; Marguerite Churchill; El Brendel; Tully Marshall; Tyrone Power Sr.; David Rollins; Frederick Burton; Ian Keith; Charles Stevens; Louise Carver
Christmas Cupid,Chad Michael Murray; Ashley Benson; Ashley Johnson; Christina Milian; Andrea Moore; Ryan Sypek; Jackée Harry; Burgess Jenkins; Patrick Johnson; Justin Smith
True Justice. Dark Vengeance: Part 1&2,Steven Seagal; Kyle Cassie; Lauro Chartrand; Philip Granger; Neelam Khabra; Alex Mallari Jr.; J. Anthony Pena; Chelsey Reist; Ron Selmour; William ‘Big Sleeps’ Stewart; Sheldon Yamkovy
The Spider Woman,Basil Rathbone; Nigel Bruce; Gale Sondergaard; Dennis Hoey; Vernon Downing; Alec Craig; Arthur Hohl; Mary Gordon; Sylvia Andrew; Marie De Becker
Knights of the South Bronx,Ted Danson; Malcolm David Kelley; Keke Palmer; Clifton Powell; Devon Bostick; Brian Markinson; Kate Vernon; Alex Karzis; Karen LeBlanc; Philip Akin
Terror by Night,Basil Rathbone; Nigel Bruce; Alan Mowbray; Dennis Hoey; Renee Godfrey; Frederick Worlock; Mary Forbes; Skelton Knaggs; Billy Bevan; Geoffrey Steele
Alex Cross,Tyler Perry; Jean Reno; Rachel Nichols; Giancarlo Esposito; Matthew Fox; Edward Burns; John C. McGinley; Cicely Tyson; Chad Lindberg; Carmen Ejogo
Sherlock Holmes and the Voice of Terror,Basil Rathbone; Nigel Bruce; Evelyn Ankers; Reginald Denny; Thomas Gomez; Henry Daniell; Montagu Love; Olaf Hytten; Leyland Hodgson; Donald Stuart
The Pearl of Death,Basil Rathbone; Nigel Bruce; Dennis Hoey; Evelyn Ankers; Miles Mander; Ian Wolfe; Charles Francis; Holmes Herbert; Richard Aherne; Mary Gordon
Catch .44,Bruce Willis; Forest Whitaker; Nikki Reed; Michael Rosenbaum; Brad Dourif; Deborah Ann Woll; Malin Akerman; Shea Whigham; Edrick Browne; Jimmy Lee Jr.; P.J. Marshall
The Lucky One,Zac Efron; Taylor Schilling; Blythe Danner; Jay R. Ferguson; Riley Thomas Stewart; Joe Chrest; Adam LeFevre; Jillian Batherson; Courtney J. Clark; Ritchie Montgomery
Arbitrage,Richard Gere; Tim Roth; Brit Marling; Susan Sarandon; Monica Raymund; William Friedkin; Laetitia Casta; Josh Pais; Bruce Altman; Chris Eigeman
The Perks of Being a Wallflower,Logan Lerman; Emma Watson; Nina Dobrev; Paul Rudd; Dylan McDermott; Mae Whitman; Melanie Lynskey; Kate Walsh; Ezra Miller; Johnny Simmons
Sherlock Holmes and the Secret Weapon,Basil Rathbone; Nigel Bruce; Lionel Atwill; Kaaren Verne; William Post Jr.; Dennis Hoey; Holmes Herbert; Mary Gordon
William S. Burroughs: A Man Within,Fred Aldrich; Laurie Anderson; Amiri Baraka; Jello Biafra; Victor Bockris; William S. Burroughs; David Cronenberg; Diane DiPrima; Patricia Elliott Marvin; Robert McColl
Page One: Inside the New York Times,Tim Arango; Julian Assange; Carl Bernstein; David Carr; Bruce Headlam; Bill Keller; Brian Stelter; Jimmy Wales
Storm War,Jason London; Wes Brown; Erin Cahill; Stacy Keach; Stanton Barrett; Jesse De Luna; Miles Doleac; Robert Grimm; Gary Grubbs; Indigo; Lance E. Nichols
Loosies,Peter Facinelli; Jaimie Alexander; Michael Madsen; Christy Carlson Romano; William Forsythe; Joe Pantoliano; Vincent Gallo; Stream; David Gere; Marianne Leone
In the Family,Trevor St. John; Patrick Wang; Sebastian Banes; Brian Murray; Peter Hermann; Susan Kellermann; Elaine Bromka; Kelly McAndrew; Eisa Davis; Zoe Winters; Park Overall; Chip Taylor; Marsha Waterbury; Eugene Bell
Bellflower,Evan Glodell; Jessie Wiseman; Tyler Dawson; Rebekah Brandes; Vincent Grashaw; Zack Kraus; Keghan Hurst; Alexandra Boylan; Bradshaw Pruitt; Brian Thomas Evans
The Many Adventures of Winnie the Pooh,Sebastian Cabot; Junius Matthews; Barbara Luddy; Howard Morris; John Fiedler; Ralph Wright; Hal Smith; Clint Howard; Bruce Reitherman; Jon Walmsley
Beasts of the Southern Wild,Quvenzhané Wallis; Dwight Henry; Levy Easterly; Lowell Landes; Pamela Harper; Gina Montana; Amber Henry; Jonshel Alexander
The First Time,Britt Robertson; Dylan O'Brien; Craig Roberts; James Frecheville; Victoria Justice; Maggie Elizabeth Jones; Lamarcus Tinker; Christine Taylor; Joshua Malina; Halston Sage
Hello I Must Be Going,Melanie Lynskey; Blythe Danner; John Rubinstein; Julie White; Christopher Abbott; Jimmi Simpson; Dan Futterman; Damian Young; Meera Simhan; Sara Chase
Keep the Lights On,Thure Lindhardt; Zachary Booth; Julianne Nicholson; Souleymane Sy Savane; Paprika Steen; Maria Dizzia; Sebastian La Cause; Justin Reinsilber; Ed Vassallo; David Anzuelo
Safety Not Guaranteed,Aubrey Plaza; Mark Duplass; Jake M. Johnson; Karan Soni; Kristen Bell; Mary Lynn Rajskub; Jeff Garlin; Jenica Bergere; Lynn Shelton; David Schultz; Tony Doupe
Smashed,Mary Elizabeth Winstead; Aaron Paul; Octavia Spencer; Nick Offerman; Megan Mullally; Mary Kay Place; Kyle Gallner; Bree Turner; Mackenzie Davis; Patti Allison
The Sessions,John Hawkes; Helen Hunt; William H. Macy; Moon Bloodgood; Annika Marks; W. Earl Brown; Blake Lindsley; Adam Arkin; Ming Lo; Paul Schulze
Ai Weiwei: Never Sorry,Ai Weiwei; Changwei Gu; Ying Gao; Huang Hung; Tehching Hsieh; Zuzhou Zuoxiao; Evan Osnos; Yanping Liu; Danqing Chen; Inserk Yang
Wrong,Jack Plotnick; Eric Judor; Alexis Dziena; Steve Little; William Fichtner; Arden Myrin; Jared Ward; Bo Barrett; Maile Flanagan; Todd Giebenhain
True Justice. Urban Warfare: Part 1&2,Steven Seagal; Meghan Ory; Warren Christie; William 'Big Sleeps' Stewart; Sarah Lind; Adrian Hough; Elizabeth Thai; Adrian Holmes; Greg Webb; Rachel Luttrell
Gift of the Magi,Marla Sokoloff; Mark Webber; Glynis Casson; Thomas Grube; Gary Hetzler; Clelia Murphy; Tomas O'Suilleabhain; Megan Riordan; Lesa Thurman; Orla Tobin
Meridian,Sherilyn Fenn; Malcolm Jamieson; Charlie Spradling; Hilary Mason; Phil Fondacaro; Vernon Dobtcheff; Alex Daniels; Vito Passeri; Angelo de Bianchi; Salem Badr
Creepshow III,Stephanie Pettee; Roy Abramsohn; Susan Schramm; Bunny Gibson; Matt Fromm; Nathan Kirkland; Selma Pinkard; Kalena Knox; Brian Jacobs; Leonardo Millán
True Justice. Lethal Justice: Part 1&2,Steven Seagal; Meghan Ory; Warren Christie; William 'Big Sleeps' Stewart; Sarah Lind; Adrian Hough; Jared Keeso; Ty Olsson; Phil Hayes; Tia Carrere
A Princess for Christmas,Katie McGrath; Roger Moore; Sam Heughan; Travis Turner; Charlotte Salt; Leilah de Meza; Miles Richardson; Madalina Anea; Oxana Moravec; Tristam Thomas
Good Luck Charlie: The Movie,Mia Talerico; Bridgit Mendler; Leigh Allyn Baker; Bradley Steven Perry; Jason Dolley; Eric Allan Kramer; Abbie Cobb; Debra Monk; Michael Kagan; E.E. Bell
Black Rock,Kate Bosworth; Lake Bell; Katie Aselton; Will Bouvier; Jay Paulson; Anslem Richardson; Carl K. Aselton III
Excision,AnnaLynne McCord; Traci Lords; Ariel Winter; Roger Bart; John Waters; Malcolm McDowell; Marlee Matlin; Matthew Gray Gubler; Jeremy Sumpter; Ray Wise
The Words,Bradley Cooper; Jeremy Irons; Dennis Quaid; Olivia Wilde; Zoë Saldana; Ben Barnes; J.K. Simmons; John Hannah; Michael McKean; Zeljko Ivanek
Robot and Frank,Frank Langella; James Marsden; Liv Tyler; Susan Sarandon; Liev Schreiber; Jeremy Strong; Katherine Waterston; Bonnie Bentley; Dario Barosso; Joshua Ormond
Red Hook Summer,Clarke Peters; Jules Brown; Toni Lysaith; James Ransone; Thomas Jefferson Byrd; Spike Lee; Keke Palmer; Samantha Ivers; Nate Parker; Heather Simms
Liberal Arts,Josh Radnor; Elizabeth Olsen; Richard Jenkins; Allison Janney; John Magaro; Elizabeth Reaser; Zac Efron; Michael Weston; Kate Burton; Angelic Zambrana
"For a Good Time, Call...",Ari Graynor; Lauren Miller; Justin Long; Seth Rogen; Mark Webber; James Wolk; Mimi Rogers; Nia Vardalos; Sugar Lyn Beard; Vanessa Britting
Celeste and Jesse Forever,Rashida Jones; Andy Samberg; Ari Graynor; Chris Messina; Elijah Wood; Emma Roberts; Eric Christian Olsen; Chris D'Elia; Rafi Gavron; Sarah Wright
Bachelorette,Kirsten Dunst; Isla Fisher; James Marsden; Adam Scott; Lizzy Caplan; Rebel Wilson; Hayes MacArthur; Arden Myrin; Kyle Bornheimer; Meg Phillips
The Onion Movie,Daniel Chacón; Ken Takemoto; Steven Seagal; Don McManus; Kate Fuglei; Abigail Mavity; Reid Weaver; Brian Powell; Adele Robbins; Jason L. Miller
Sorority Babes in the Slimeball Bowl-O-Rama,Andras Jones; Linnea Quigley; Robin Stille; Hal Havins; John Stuart Wildman; Brinke Stevens; Michelle Bauer; Kathi O'Brecht; Carla Baron; George 'Buck' Flower
Red Dawn,Chris Hemsworth; Adrianne Palicki; Josh Hutcherson; Josh Peck; Isabel Lucas; Jeffrey Dean Morgan; Connor Cruise; Edwin Hodge; Alyssa Diaz; Brett Cullen
Faces of Death,Michael Carr; Samuel Berkowitz; Mary Ellen Brighton; Thomas Noguchi
Rock of Ages,Diego Boneta; Julianne Hough; Russell Brand; Tom Cruise; Catherine Zeta-Jones; Alec Baldwin; Mary J. Blige; Paul Giamatti; Malin Akerman; Bryan Cranston; Will Forte
Project X,Thomas Mann; Jonathan Daniel Brown; Oliver Cooper; Dax Flame; Nichole Bloom; Martin Klebba; Miles Teller; Sam Lant; Alexis Knapp; Brendan Miller
Playing for Keeps,Gerard Butler; Jessica Biel; Noah Lomax; Judy Greer; Uma Thurman; Catherine Zeta-Jones; Dennis Quaid; James Tupper; Iqbal Theba; Aisha Kabia; Joe Chrest
The Place Beyond the Pines,Ryan Gosling; Bradley Cooper; Rose Byrne; Eva Mendes; Ray Liotta; Bruce Greenwood; Ben Mendelsohn; Harris Yulin; Dane DeHaan; Mahershala Ali; Emory Cohen
The Three Stooges,Sean Hayes; Will Sasso; Chris Diamantopoulos; Jane Lynch; Jennifer Hudson; Sofia Vergara; Craig Bierko; Stephen Collins; Larry David; Lin Shaye
The Five-Year Engagement,Jason Segel; Emily Blunt; Alison Brie; Rhys Ifans; Chris Pratt; Kevin Hart; Mindy Kaling; Chris Parnell; Dakota Johnson; Jim Piddock
What to Expect When You're Expecting,Elizabeth Banks; Rob Huebel; Anna Kendrick; Cameron Diaz; Dennis Quaid; Jennifer Lopez; Chris Rock; Chace Crawford; Matthew Morrison; Brooklyn Decker; Thomas Lennon; Wendi McLendon-Covey; Rodrigo Santoro; Joe Manganiello; Ben Falcone
Abraham Lincoln: Vampire Hunter,Benjamin Walker; Mary Elizabeth Winstead; Dominic Cooper; Anthony Mackie; Robin McLeavy; Jimmi Simpson; Alan Tudyk; Rufus Sewell; Edrick Browne; Jaqueline Fleming
Life of Pi,Suraj Sharma; Irrfan Khan; Rafe Spall; Gérard Depardieu; Adil Hussain; Tabu; Ayush Tandon; Shravanthi Sainath; Andrea Di Stefano; Vibish Sivakumar; Ayan Khan
The Master,Joaquin Phoenix; Philip Seymour Hoffman; Amy Adams; Laura Dern; Kevin J. O'Connor; Rami Malek; Ambyr Childers; Jesse Plemons; Darren Le Gallo; W. Earl Brown; Lena Endre
